region,state,order_date,category,product_name,Total_Sales,Total_Profit,Quantity_Sold,Discount_Avg,Discount_Amount,Profit_Margin,Shipping_Time
Central,Illinois,2018-09-14,Office Supplies,Avery 51,20.16,6.55,4,0.2,4.032,0.32490079365079366,5.0
Central,Illinois,2018-09-14,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.45,-131.12,2,0.8,41.96000000000001,-2.499904671115348,5.0
Central,Illinois,2018-09-20,Furniture,Bevis 44 x 96 Conference Tables,617.7,-407.68,6,0.5,308.85,-0.6599967621822891,5.0
Central,Illinois,2018-09-20,Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",493.43,-70.49,5,0.3,148.029,-0.14285714285714285,3.0
Central,Illinois,2018-09-20,Technology,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,11.12,3.48,2,0.2,2.2239999999999998,0.3129496402877698,3.0
Central,Illinois,2018-09-22,Office Supplies,"SAFCO Commercial Wire Shelving, Black",331.54,-82.88,3,0.2,66.308,-0.24998491886348553,5.0
Central,Illinois,2018-09-26,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",153.82,38.46,11,0.2,30.764,0.2500325055259394,5.0
Central,Illinois,2018-10-03,Furniture,"Global High-Back Leather Tilter, Burgundy",258.28,-70.1,3,0.3,77.484,-0.2714108719219452,5.0
Central,Illinois,2018-10-12,Office Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",22.24,2.5,2,0.2,4.4479999999999995,0.11241007194244605,5.0
Central,Illinois,2018-10-14,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.95,-4.86,3,0.8,2.3600000000000003,-1.647457627118644,6.0
Central,Illinois,2018-10-14,Office Supplies,Xerox 1903,19.14,6.94,4,0.2,3.8280000000000003,0.3625914315569488,6.0
Central,Illinois,2018-10-14,Office Supplies,Xerox 1951,322.19,100.68,13,0.2,64.438,0.31248642105589874,6.0
Central,Illinois,2018-10-20,Office Supplies,"24 Capacity Maxi Data Binder Racks, Pearl",505.32,31.58,3,0.2,101.06400000000001,0.06249505263991134,2.0
Central,Illinois,2018-10-20,Office Supplies,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",24.42,7.94,1,0.2,4.884,0.3251433251433251,2.0
Central,Illinois,2018-10-20,Office Supplies,Satellite Sectional Post Binders,8.68,-14.76,1,0.8,6.944,-1.7004608294930876,2.0
Central,Illinois,2018-10-20,Office Supplies,Wirebound Voice Message Log Book,3.81,1.24,1,0.2,0.762,0.32545931758530183,2.0
Central,Illinois,2018-10-20,Technology,Logitech Wireless Performance Mouse MX for PC and Mac,319.97,71.99,4,0.2,63.99400000000001,0.22498984279776227,2.0
Central,Illinois,2018-10-29,Technology,Apple iPhone 5S,2735.95,341.99,6,0.2,547.1899999999999,0.1249986293609167,2.0
Central,Illinois,2018-11-01,Office Supplies,Southworth Parchment Paper & Envelopes,15.7,5.1,3,0.2,3.14,0.3248407643312102,7.0
Central,Illinois,2018-11-11,Furniture,DAX Wood Document Frame,10.98,-7.96,2,0.6,6.588,-0.7249544626593807,4.0
Central,Illinois,2018-11-11,Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs,797.94,-57.0,4,0.3,239.382,-0.07143394240168434,4.0
Central,Illinois,2018-11-16,Furniture,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,37.3,-1.07,2,0.3,11.19,-0.028686327077747993,4.0
Central,Illinois,2018-11-18,Furniture,BPI Conference Tables,292.1,-175.26,4,0.5,146.05,-0.5999999999999999,3.0
Central,Illinois,2018-11-18,Furniture,Dana Swing-Arm Lamps,8.54,-7.48,2,0.6,5.124,-0.8758782201405153,3.0
Central,Illinois,2018-11-18,Furniture,Hon 4-Shelf Metal Bookcases,424.12,-30.29,6,0.3,127.23599999999999,-0.07141846647175328,3.0
Central,Illinois,2018-11-18,Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,381.72,-66.8,5,0.2,76.34400000000001,-0.17499738027873832,3.0
Central,Illinois,2018-11-18,Office Supplies,"GBC White Gloss Covers, Plain Front",14.48,-23.89,5,0.8,11.584000000000001,-1.6498618784530386,7.0
Central,Illinois,2018-11-18,Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,2.89,-4.92,3,0.8,2.3120000000000003,-1.7024221453287196,3.0
Central,Illinois,2018-11-22,Office Supplies,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",9.98,-16.47,5,0.8,7.984000000000001,-1.6503006012024046,6.0
Central,Illinois,2018-11-24,Office Supplies,Fellowes Super Stor/Drawer Files,646.2,-8.08,5,0.2,129.24,-0.01250386877127824,4.0
Central,Illinois,2018-11-29,Office Supplies,Staples,12.62,3.94,2,0.2,2.524,0.312202852614897,5.0
Central,Illinois,2018-12-02,Office Supplies,Staple holder,2.39,-6.34,1,0.8,1.9120000000000001,-2.6527196652719662,2.0
Central,Illinois,2018-12-05,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",24.82,1.86,2,0.2,4.964,0.07493956486704272,4.0
Central,Illinois,2018-12-05,Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.74,76.64,7,0.2,81.748,0.18750305817879337,4.0
Central,Illinois,2018-12-06,Furniture,KI Adjustable-Height Table,214.95,-120.37,5,0.5,107.475,-0.5599906955105839,4.0
Central,Illinois,2018-12-06,Furniture,Nu-Dell Float Frame 11 x 14 1/2,10.78,-4.85,3,0.6,6.467999999999999,-0.44990723562152135,4.0
Central,Illinois,2018-12-06,Office Supplies,Bionaire 99.97% HEPA Air Cleaner,14.02,-31.54,4,0.8,11.216000000000001,-2.2496433666191153,4.0
Central,Illinois,2018-12-06,Office Supplies,Ibico Covers for Plastic or Wire Binding Elements,4.6,-8.05,2,0.8,3.6799999999999997,-1.7500000000000002,4.0
Central,Illinois,2018-12-06,Office Supplies,Rogers Deluxe File Chest,35.17,-8.35,2,0.2,7.034000000000001,-0.23741825419391524,4.0
Central,Illinois,2018-12-06,Technology,Shocksock Galaxy S4 Armband,35.04,-7.01,4,0.2,7.008,-0.20005707762557076,4.0
Central,Illinois,2018-12-09,Office Supplies,Astroparche Fine Business Paper,8.45,2.96,2,0.2,1.69,0.3502958579881657,6.0
Central,Illinois,2018-12-09,Office Supplies,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,20.39,-53.01,2,0.8,16.312,-2.59980382540461,6.0
Central,Illinois,2018-12-13,Furniture,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,94.43,-42.49,3,0.6,56.658,-0.44996293550778355,4.0
Central,Illinois,2018-12-14,Office Supplies,Assorted Color Push Pins,2.9,0.47,2,0.2,0.58,0.16206896551724137,5.0
Central,Illinois,2018-12-14,Office Supplies,Avery Heavy-Duty EZD View Binder with Locking Rings,5.1,-8.68,4,0.8,4.08,-1.7019607843137257,5.0
Central,Illinois,2018-12-14,Office Supplies,GBC VeloBind Cover Sets,9.26,-13.9,3,0.8,7.408,-1.5010799136069115,2.0
Central,Illinois,2018-12-14,Technology,Belkin Standard 104 key USB Keyboard,35.02,-2.19,3,0.2,7.004000000000001,-0.06253569388920616,5.0
Central,Illinois,2018-12-15,Furniture,Dana Swing-Arm Lamps,8.54,-7.48,2,0.6,5.124,-0.8758782201405153,6.0
Central,Illinois,2018-12-19,Office Supplies,"Rogers Jumbo File, Granite",32.59,-7.74,3,0.2,6.518000000000001,-0.23749616446762808,6.0
Central,Illinois,2018-12-19,Office Supplies,Xerox 229,15.55,5.44,3,0.2,3.1100000000000003,0.3498392282958199,6.0
Central,Illinois,2018-12-19,Technology,RCA ViSYS 25425RE1 Corded phone,323.98,36.45,3,0.2,64.796,0.11250694487314032,6.0
Central,Illinois,2018-12-22,Office Supplies,Economy Rollaway Files,132.16,9.91,1,0.2,26.432000000000002,0.07498486682808717,7.0
Central,Illinois,2018-12-22,Office Supplies,Recycled Easel Ring Binders,17.9,-31.33,6,0.8,14.32,-1.7502793296089385,7.0
Central,Illinois,2018-12-22,Office Supplies,White Computer Printout Paper by Universal,124.03,44.96,4,0.2,24.806,0.3624929452551802,7.0
Central,Illinois,2018-12-26,Office Supplies,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",8.69,-14.77,5,0.8,6.952,-1.6996547756041427,5.0
Central,Illinois,2018-12-27,Furniture,DAX Wood Document Frame,32.95,-19.77,6,0.6,19.77,-0.6,4.0
Central,Illinois,2018-12-27,Office Supplies,Staple magnet,30.02,3.0,4,0.2,6.0040000000000004,0.09993337774816789,4.0
Central,Illinois,2018-12-29,Furniture,"Master Caster Door Stop, Large Brown",8.74,-4.8,3,0.6,5.244,-0.5491990846681922,4.0
Central,Illinois,2018-12-29,Furniture,Tenex Chairmats For Use with Hard Floors,38.98,-50.67,3,0.6,23.387999999999998,-1.2998973832734737,7.0
Central,Illinois,2019-01-17,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,254.74,-312.06,7,0.6,152.844,-1.225013739499097,7.0
Central,Illinois,2019-02-09,Technology,Logitech Wireless Headset h800,479.95,89.99,6,0.2,95.99000000000001,0.18749869778101885,4.0
Central,Illinois,2019-03-05,Furniture,Eldon Wave Desk Accessories,4.71,-1.88,2,0.6,2.826,-0.39915074309978765,4.0
Central,Illinois,2019-03-05,Office Supplies,Avanti 4.4 Cu. Ft. Refrigerator,180.98,-470.55,5,0.8,144.784,-2.600011050944856,4.0
Central,Illinois,2019-03-05,Office Supplies,Binder Clips by OIC,7.1,2.49,6,0.2,1.42,0.3507042253521127,5.0
Central,Illinois,2019-03-05,Office Supplies,"Companion Letter/Legal File, Black",60.42,6.04,2,0.2,12.084000000000001,0.09996689837802052,4.0
Central,Illinois,2019-03-05,Office Supplies,"Performers Binder/Pad Holder, Black",11.21,-16.82,2,0.8,8.968000000000002,-1.5004460303300624,4.0
Central,Illinois,2019-03-08,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings,8.57,-14.57,3,0.8,6.856000000000001,-1.7001166861143524,4.0
Central,Illinois,2019-03-24,Furniture,Sauder Inglewood Library Bookcases,359.06,-35.91,3,0.3,107.718,-0.10001114019940956,3.0
Central,Illinois,2019-03-30,Furniture,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",366.74,-110.02,4,0.3,110.022,-0.2999945465452364,4.0
Central,Illinois,2019-03-30,Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",23.52,8.53,5,0.2,4.704,0.36267006802721086,5.0
Central,Illinois,2019-03-30,Technology,AT&T 17929 Lendline Telephone,180.96,13.57,5,0.2,36.192,0.07498894783377542,5.0
Central,Illinois,2019-04-16,Technology,Canon PC940 Copier,1439.97,485.99,4,0.2,287.994,0.33750008680736404,4.0
Central,Illinois,2019-04-16,Technology,Logitech Keyboard K120,43.56,-4.9,3,0.2,8.712000000000002,-0.11248852157943068,4.0
Central,Illinois,2019-04-25,Furniture,"Global Armless Task Chair, Royal Blue",128.06,-23.78,3,0.3,38.418,-0.18569420584101204,4.0
Central,Illinois,2019-04-25,Office Supplies,"SAFCO Commercial Wire Shelving, Black",221.02,-55.26,2,0.2,44.20400000000001,-0.25002262238711426,4.0
Central,Illinois,2019-04-30,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.12,-15.22,5,0.3,63.936,-0.07141516516516516,5.0
Central,Illinois,2019-05-04,Furniture,Staple-based wall hangings,22.29,-8.92,7,0.6,13.373999999999999,-0.40017945266935845,1.0
Central,Illinois,2019-05-10,Office Supplies,Boston KS Multi-Size Manual Pencil Sharpener,36.78,3.68,2,0.2,7.356000000000001,0.10005437737901034,0.0
Central,Illinois,2019-05-10,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,70.97,-191.62,5,0.8,56.776,-2.7000140904607584,0.0
Central,Illinois,2019-05-13,Office Supplies,Advantus Plastic Paper Clips,16.0,5.6,4,0.2,3.2,0.35,5.0
Central,Illinois,2019-05-13,Technology,Toshiba IPT2010-SD IP Telephone,222.38,16.68,2,0.2,44.476,0.07500674521090026,5.0
Central,Illinois,2019-05-21,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,20.77,-52.96,8,0.8,16.616,-2.549831487722677,6.0
Central,Illinois,2019-05-24,Furniture,"Global High-Back Leather Tilter, Burgundy",602.65,-163.58,7,0.3,180.795,-0.2714344976354435,2.0
Central,Illinois,2019-05-24,Office Supplies,Avery Heavy-Duty EZD View Binder with Locking Rings,7.66,-13.02,6,0.8,6.128,-1.6997389033942558,2.0
Central,Illinois,2019-05-31,Furniture,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",51.56,-61.87,2,0.6,30.936,-1.1999612102404964,5.0
Central,Illinois,2019-05-31,Office Supplies,Avery 501,5.9,1.99,2,0.2,1.1800000000000002,0.3372881355932203,5.0
Central,Illinois,2019-05-31,Office Supplies,Storex Dura Pro Binders,3.56,-6.24,3,0.8,2.8480000000000003,-1.752808988764045,5.0
Central,Illinois,2019-05-31,Office Supplies,Xerox 1988,173.49,54.22,7,0.2,34.698,0.312525217591792,5.0
Central,Illinois,2019-06-08,Office Supplies,Hoover Shoulder Vac Commercial Portable Vacuum,143.13,-393.6,2,0.8,114.504,-2.74994760008384,4.0
Central,Illinois,2019-06-08,Technology,Maxell 4.7GB DVD+R 5/Pack,2.38,0.74,3,0.2,0.476,0.31092436974789917,4.0
Central,Illinois,2019-06-22,Furniture,Hon Rectangular Conference Tables,796.42,-525.64,7,0.5,398.21,-0.6600035157329047,3.0
Central,Illinois,2019-07-02,Furniture,"Global Wood Trimmed Manager's Task Chair, Khaki",382.12,-92.8,6,0.3,114.636,-0.24285564744059457,4.0
Central,Illinois,2019-07-02,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408.42,-5.83,2,0.3,122.526,-0.014274521326085891,4.0
Central,Illinois,2019-07-02,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",11.17,3.77,2,0.2,2.234,0.3375111906893465,4.0
Central,Illinois,2019-07-02,Office Supplies,Adjustable Depth Letter/Legal Cart,435.5,48.99,3,0.2,87.10000000000001,0.11249138920780712,4.0
Central,Illinois,2019-07-02,Office Supplies,Advantus Rolling Storage Box,68.6,6.0,5,0.2,13.719999999999999,0.08746355685131196,4.0
Central,Illinois,2019-07-12,Furniture,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",7.76,-2.13,1,0.6,4.656,-0.2744845360824742,5.0
Central,Illinois,2019-07-12,Furniture,"Global Push Button Manager's Chair, Indigo",383.61,-5.48,9,0.3,115.083,-0.01428534188368395,5.0
Central,Illinois,2019-07-12,Office Supplies,Newell 32,6.91,0.69,3,0.2,1.3820000000000001,0.09985528219971056,5.0
Central,Illinois,2019-07-12,Office Supplies,Tuff Stuff Recycled Round Ring Binders,1.93,-2.99,2,0.8,1.544,-1.5492227979274613,5.0
Central,Illinois,2019-07-12,Technology,GE 2-Jack Phone Line Splitter,659.17,49.44,4,0.2,131.834,0.07500341338349743,5.0
Central,Illinois,2019-07-12,Technology,Geemarc AmpliPOWER60,148.48,16.7,2,0.2,29.695999999999998,0.11247306034482758,5.0
Central,Illinois,2019-07-12,Technology,Vtech CS6719,537.54,53.75,7,0.2,107.508,0.09999255869330655,5.0
Central,Illinois,2019-07-20,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",913.43,-52.2,5,0.3,274.029,-0.05714723624141971,7.0
Central,Illinois,2019-07-20,Furniture,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,384.94,-126.48,4,0.3,115.482,-0.32857068634072845,7.0
Central,Illinois,2019-07-20,Office Supplies,Avery Durable Binders,2.88,-4.46,5,0.8,2.304,-1.5486111111111112,7.0
Central,Illinois,2019-07-20,Technology,Pyle PMP37LED,153.58,13.44,2,0.2,30.716000000000005,0.08751139471285323,7.0
Central,Illinois,2019-08-23,Office Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,31.68,2.77,4,0.2,6.336,0.08743686868686869,0.0
Central,Illinois,2019-08-23,Office Supplies,Holmes Odor Grabber,5.77,-13.55,2,0.8,4.616,-2.348353552859619,0.0
Central,Illinois,2019-08-23,Office Supplies,Staples,12.03,2.26,8,0.2,2.406,0.18786367414796343,0.0
Central,Illinois,2019-08-23,Office Supplies,Xerox 206,10.37,3.63,2,0.2,2.074,0.3500482160077146,0.0
Central,Illinois,2019-08-28,Technology,Canon Imageclass D680 Copier / Fax,2799.96,874.99,5,0.2,559.9920000000001,0.31250089286989813,4.0
Central,Illinois,2019-09-13,Furniture,"Global Value Steno Chair, Gray",170.07,-12.15,4,0.3,51.020999999999994,-0.07144117128241313,4.0
Central,Illinois,2019-09-13,Office Supplies,Staple envelope,7.82,2.93,1,0.2,1.564,0.37468030690537085,4.0
Central,Illinois,2019-09-20,Office Supplies,Acco Translucent Poly Ring Binders,2.81,-4.49,3,0.8,2.248,-1.597864768683274,4.0
Central,Illinois,2019-09-25,Office Supplies,Boston KS Multi-Size Manual Pencil Sharpener,128.74,12.87,7,0.2,25.748000000000005,0.09996892962560197,4.0
Central,Illinois,2019-09-27,Furniture,"DAX Metal Frame, Desktop, Stepped-Edge",24.29,-12.75,3,0.6,14.573999999999998,-0.5249073692877728,2.0
Central,Illinois,2019-09-27,Office Supplies,Vinyl Sectional Post Binders,15.08,-22.62,2,0.8,12.064,-1.5,2.0
Central,Illinois,2019-10-01,Office Supplies,Accohide Poly Flexible Ring Binders,2.99,-4.49,4,0.8,2.3920000000000003,-1.5016722408026755,4.0
Central,Illinois,2019-10-01,Technology,Lenovo 17-Key USB Numeric Keypad,108.77,2.72,4,0.2,21.754,0.025006895283626002,4.0
Central,Illinois,2019-10-10,Office Supplies,Avery Fluorescent Highlighter Four-Color Set,8.02,1.0,3,0.2,1.604,0.12468827930174564,7.0
Central,Illinois,2019-10-15,Technology,Logitech Gaming G510s - Keyboard,339.96,67.99,5,0.2,67.992,0.19999411695493588,5.0
Central,Illinois,2019-10-22,Office Supplies,GBC Instant Report Kit,5.18,-7.76,4,0.8,4.144,-1.4980694980694982,4.0
Central,Illinois,2019-11-05,Office Supplies,Avery 476,19.82,6.44,6,0.2,3.9640000000000004,0.3249243188698285,4.0
Central,Illinois,2019-11-13,Furniture,"Eldon Imàge Series Desk Accessories, Clear",17.5,-7.44,9,0.6,10.5,-0.42514285714285716,0.0
Central,Illinois,2019-11-15,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,11.36,-17.05,3,0.8,9.088,-1.500880281690141,2.0
Central,Illinois,2019-11-15,Office Supplies,Home/Office Personal File Carts,250.27,15.64,9,0.2,50.054,0.06249250809126144,2.0
Central,Illinois,2019-11-15,Office Supplies,Staple remover,8.72,-1.74,5,0.2,1.7440000000000002,-0.19954128440366972,2.0
Central,Illinois,2019-11-16,Furniture,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",34.5,-15.53,2,0.6,20.7,-0.45014492753623186,4.0
Central,Illinois,2019-11-16,Office Supplies,"Neat Ideas Personal Hanging Folder Files, Black",21.49,1.61,2,0.2,4.298,0.0749185667752443,4.0
Central,Illinois,2019-11-16,Technology,HTC One,239.98,27.0,3,0.2,47.996,0.11250937578131512,4.0
Central,Illinois,2019-11-17,Office Supplies,Acme Box Cutter Scissors,40.92,3.07,5,0.2,8.184000000000001,0.07502443792766372,4.0
Central,Illinois,2019-11-28,Furniture,"Eldon ""L"" Workstation Diamond Chairmat",151.96,-182.35,5,0.6,91.176,-1.1999868386417478,5.0
Central,Illinois,2019-11-28,Furniture,Eldon 100 Class Desk Accessories,12.13,-8.49,9,0.6,7.2780000000000005,-0.6999175597691674,6.0
Central,Illinois,2019-11-28,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",82.37,-19.56,2,0.2,16.474,-0.2374650965157217,6.0
Central,Illinois,2019-11-28,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",53.92,4.04,5,0.2,10.784,0.07492581602373886,6.0
Central,Illinois,2019-11-28,Technology,Logitech Mobile Speakerphone P710e - speaker phone,647.9,56.69,6,0.2,129.58,0.08749807068992128,6.0
Central,Illinois,2019-12-05,Office Supplies,Security-Tint Envelopes,12.22,4.43,2,0.2,2.4440000000000004,0.36252045826513907,6.0
